GeneID	KEGG	Pfam	GO
Gene04847			
Gene04848			
Gene04849		PF00314.16	
Gene04850			
Gene04851		PF13516.5,PF00560.32	GO:0005515
Gene04852		PF02705.15	GO:0015079,GO:0016020,GO:0071805
Gene04853		PF07035.11	
Gene04854		PF01936.17	
Gene04855			
Gene04856			
Gene04857			
Gene04858	K01476	PF00491.20	GO:0046872
Gene04859			
Gene04860			
Gene04861			
Gene04862			
Gene04863			
Gene04864			
Gene04865	K00053	PF07991.11	
Gene04866		PF14416.5,PF13839.5	
Gene04867			
Gene04868		PF02985.21	GO:0005515
Gene04869			
Gene04870		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene04871		PF04844.12	
Gene04872			
Gene04873			
Gene04874			
Gene04875		PF00190.21,PF07883.10	GO:0045735
Gene04876	K10706	PF13086.5	
Gene04877		PF00141.22	GO:0004601,GO:0006979,GO:0020037,GO:0055114
Gene04878		PF07250.10,PF09118.10	
Gene04879			
Gene04880		PF01485.20	
Gene04881			
Gene04882	K09481		
Gene04883			
Gene04884			
Gene04885	K03143	PF03850.13	GO:0000439,GO:0006289,GO:0006355
Gene04886		PF02701.14	GO:0003677,GO:0006355
Gene04887		PF01535.19,PF12854.6,PF01535.19,PF01535.19,PF13812.5,PF13041.5,PF01535.19,PF13812.5,PF01535.19,PF01535.19	
Gene04888			
Gene04889			
Gene04890	K01952	PF00586.23	
Gene04891	K20403		
Gene04892		PF01535.19,PF01535.19,PF03161.12	GO:0004519
Gene04893			
Gene04894			
Gene04895			
Gene04896		PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene04897			
Gene04898			
Gene04899			
Gene04900		PF13041.5,PF13812.5,PF01535.19,PF01535.19,PF01535.19,PF14432.5	GO:0008270
Gene04901	K00276	PF01179.19	GO:0005507,GO:0008131,GO:0009308,GO:0048038,GO:0055114
Gene04902		PF00847.19	GO:0003700,GO:0006355
Gene04903			
Gene04904			
Gene04905			
Gene04906	K04773	PF01343.17	GO:0006508,GO:0008233
Gene04907			
Gene04908	K17991	PF05042.12	
Gene04909		PF02738.17	GO:0016491,GO:0055114
Gene04910			
Gene04911		PF00646.32,PF07734.12	GO:0005515
Gene04912		PF13947.5	GO:0030247
Gene04913	K00434		
Gene04914	K10523		
Gene04915			
Gene04916	K03495	PF01134.21	GO:0008033,GO:0050660
Gene04917			
Gene04918	K13065	PF02458.14	GO:0016747
Gene04919		PF05686.11	
Gene04920		PF13812.5,PF17177.3,PF13041.5,PF13812.5,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF17177.3,PF12854.6,PF13041.5,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF01535.19,PF01535.19	
Gene04921			
Gene04922			
Gene04923	K03848	PF03155.14	GO:0005789,GO:0016758
Gene04924			
Gene04925			
Gene04926		PF00860.19	GO:0005215,GO:0006810,GO:0016020,GO:0055085
Gene04927			
Gene04928		PF00890.23	
Gene04929			
Gene04930			
Gene04931			
Gene04932			
Gene04933			
Gene04934	K02900	PF00828.18	
Gene04935			
Gene04936			
Gene04937			
Gene04938			
Gene04939			
Gene04940			
Gene04941		PF04851.14,PF00176.22	GO:0003677,GO:0005524,GO:0016787
Gene04942			
Gene04943		PF00005.26,PF01061.23	GO:0005524,GO:0016020,GO:0016887
Gene04944		PF03479.14	
Gene04945			
Gene04946		PF00078.26	
Gene04947			
Gene04948			
Gene04949			
Gene04950			
Gene04951			
Gene04952		PF00201.17	GO:0008152,GO:0016758
Gene04953		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene04954			
Gene04955		PF14111.5	
Gene04956		PF06972.10	
Gene04957			
Gene04958			
Gene04959			
Gene04960			
Gene04961	K06228	PF02985.21,PF00514.22	GO:0005515
Gene04962			
Gene04963			
Gene04964			
Gene04965			
Gene04966			
Gene04967		PF07731.13	GO:0005507,GO:0016491,GO:0055114
Gene04968			
Gene04969			
Gene04970		PF13833.5,PF13202.5	GO:0005509
Gene04971		PF05033.15,PF00856.27	GO:0005515,GO:0005634,GO:0008270,GO:0018024,GO:0034968
Gene04972			
Gene04973	K20715	PF13426.6	
Gene04974	K00383		
Gene04975		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene04976	K20858	PF04678.12	
Gene04977		PF14363.5,PF00004.28	GO:0005524
Gene04978			
Gene04979			
Gene04980		PF00561.19,PF12697.6	
Gene04981		PF00646.32,PF12937.6	GO:0005515
Gene04982			
Gene04983		PF00574.22	
Gene04984			
Gene04985			
Gene04986			
Gene04987	K14319	PF13943.5,PF13516.5,PF13516.5	GO:0005515
Gene04988			
Gene04989			
Gene04990			
Gene04991			
Gene04992	K12868		
Gene04993			
Gene04994			
Gene04995			
Gene04996		PF01535.19,PF13812.5,PF13812.5,PF13041.5,PF12854.6,PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF01535.19,PF01535.19	
Gene04997		PF02365.14	GO:0003677,GO:0006355
Gene04998	K16578	PF12755.6	
Gene04999	K20456	PF00169.28,PF15413.5	
Gene05000		PF01762.20	GO:0006486,GO:0008378,GO:0016020
Gene05001			
Gene05002	K22733	PF05653.13	GO:0015095,GO:0015693,GO:0016021
Gene05003		PF14543.5,PF00026.22,PF14541.5	
Gene05004			
Gene05005		PF02701.14	GO:0003677,GO:0006355
Gene05006		PF01852.18	GO:0008289
Gene05007		PF00646.32,PF12937.6,PF07723.12	GO:0005515
Gene05008		PF05042.12	
Gene05009			
Gene05010		PF00632.24	GO:0004842
Gene05011			
Gene05012	K01061	PF01738.17	GO:0016787
Gene05013		PF05278.11	
Gene05014			
Gene05015		PF06101.10	
Gene05016			
Gene05017		PF14226.5,PF03171.19	GO:0016491,GO:0055114
Gene05018		PF01473.19	
Gene05019	K00058	PF00389.29,PF02826.18,PF07991.11	GO:0008152,GO:0016616,GO:0051287,GO:0055114
Gene05020			
Gene05021			
Gene05022			
Gene05023		PF13637.5,PF13857.5,PF00023.29,PF13637.5,PF00023.29	GO:0005515
Gene05024			
Gene05025		PF07995.10	
Gene05026		PF09265.9	GO:0009690,GO:0019139,GO:0050660,GO:0055114
Gene05027	K13754	PF01699.23	GO:0016021,GO:0055085
Gene05028		PF17177.3,PF13812.5,PF13812.5,PF01535.19	
Gene05029		PF00168.29,PF00168.29	
Gene05030		PF03810.18	GO:0006886,GO:0008536
Gene05031		PF13855.5,PF00560.32,PF13855.5,PF07714.16,PF00069.24	GO:0004672,GO:0005515,GO:0005524,GO:0006468
Gene05032			
Gene05033		PF13041.5,PF01535.19,PF13041.5,PF01535.19,PF12854.6,PF01535.19,PF01535.19	
Gene05034	K18592	PF01019.20	GO:0006751,GO:0036374
Gene05035			
Gene05036		PF00784.16	GO:0005856
Gene05037			
Gene05038		PF00226.30	
Gene05039		PF00931.21	GO:0043531
Gene05040	K14846		
Gene05041			
Gene05042		PF07728.13,PF07726.10	GO:0005524,GO:0016887
Gene05043			
Gene05044			
Gene05045		PF04576.14	
Gene05046			
Gene05047			
Gene05048	K20288	PF08700.10	
Gene05049		PF14214.5	
Gene05050			
Gene05051	K19613		
Gene05052			
Gene05053			
Gene05054			
Gene05055		PF00201.17	GO:0008152,GO:0016758
Gene05056			
Gene05057		PF00411.18	GO:0003735,GO:0005840,GO:0006412
Gene05058		PF04043.14	GO:0004857
Gene05059			
Gene05060			
Gene05061			
Gene05062		PF00403.25	GO:0030001,GO:0046872
Gene05063		PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19,PF12854.6,PF01535.19,PF01535.19	
Gene05064			
Gene05065			
Gene05066		PF00046.28	GO:0003677
Gene05067			
Gene05068	K00981	PF01148.19	
Gene05069		PF00249.30,PF13921.5,PF00249.30,PF13921.5	
Gene05070			
Gene05071	K05302		
Gene05072			
Gene05073		PF01661.20	
Gene05074			
Gene05075	K07277	PF01103.22	GO:0019867
Gene05076			
Gene05077		PF00450.21	GO:0004185,GO:0006508
Gene05078			
Gene05079			
Gene05080			
Gene05081		PF02364.14	GO:0000148,GO:0003843,GO:0006075,GO:0016020
Gene05082		PF00332.17	GO:0004553,GO:0005975
Gene05083			
Gene05084			
Gene05085			
Gene05086			
Gene05087			
Gene05088			
Gene05089			
Gene05090		PF04640.13	
Gene05091		PF05843.13	GO:0005634,GO:0006397
Gene05092			
Gene05093		PF00145.16,PF00145.16	
Gene05094	K09872	PF00230.19	GO:0005215,GO:0006810,GO:0016020
Gene05095	K08869	PF03109.15	
Gene05096			
Gene05097		PF07713.12	GO:0006397
Gene05098		PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene05099	K01193	PF00251.19	
Gene05100	K01214	PF00128.23	GO:0003824,GO:0005975
Gene05101			
Gene05102		PF00909.20	GO:0008519,GO:0015696,GO:0016020
Gene05103			
Gene05104		PF01582.19,PF13676.5,PF00931.21,PF00004.28	GO:0005515,GO:0005524,GO:0007165,GO:0043531
Gene05105			
Gene05106		PF00043.24,PF14497.5,PF13410.5,PF02798.19,PF13417.5,PF13409.5	
Gene05107			
Gene05108		PF04827.13	GO:0016788
Gene05109	K05931	PF05175.13,PF06325.12,PF02475.15,PF05185.15,PF13649.5,PF08241.11	GO:0008152,GO:0008168
Gene05110		PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19	
Gene05111		PF00076.21	GO:0003676
Gene05112		PF00328.21	GO:0003993
Gene05113		PF00394.21,PF07731.13	GO:0005507,GO:0016491,GO:0055114
Gene05114			
Gene05115			
Gene05116		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene05117			
Gene05118			
Gene05119			
Gene05120			
Gene05121			
Gene05122			
Gene05123			
Gene05124			
Gene05125			
Gene05126		PF01301.18,PF02449.14	GO:0004565,GO:0005975,GO:0009341
Gene05127		PF00332.17,PF07983.12	GO:0004553,GO:0005975
Gene05128		PF00579.24,PF01479.24	GO:0000166,GO:0003723,GO:0004812,GO:0005524,GO:0006418
Gene05129		PF00854.20	GO:0005215,GO:0006810,GO:0016020
Gene05130		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene05131			
Gene05132	K12871	PF08315.11	
Gene05133			
Gene05134		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene05135		PF13713.5,PF08381.10	
Gene05136		PF00931.21	GO:0043531
Gene05137			
Gene05138	K14484	PF02309.15	
Gene05139			
Gene05140			
Gene05141		PF00139.18,PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468,GO:0030246
Gene05142	K02365	PF03568.16	
Gene05143	K03648	PF03167.18	
Gene05144			
Gene05145	K16075		
Gene05146		PF13855.5,PF12799.6,PF13516.5,PF00560.32,PF13516.5,PF12799.6,PF00560.32,PF13855.5,PF00560.32	GO:0005515
Gene05147		PF00891.17	GO:0008171
Gene05148			
Gene05149			
Gene05150			
Gene05151			
Gene05152		PF13516.5,PF13855.5,PF00560.32,PF13516.5,PF13855.5,PF12799.6,PF00560.32,PF13306.5,PF13516.5,PF13516.5,PF00560.32	GO:0005515
Gene05153			
Gene05154			
Gene05155			
Gene05156			
Gene05157			
Gene05158		PF04770.11	
Gene05159			
Gene05160			
Gene05161			
Gene05162		PF00651.30,PF03000.13	GO:0005515
Gene05163	K10257	PF11960.7,PF00487.23	GO:0006629,GO:0016717,GO:0055114
Gene05164	K17637		
Gene05165		PF07732.14	GO:0005507
Gene05166		PF00564.23	GO:0005515
Gene05167		PF00305.18	GO:0016702,GO:0046872,GO:0055114
Gene05168		PF01408.21	GO:0016491
Gene05169		PF13520.5,PF00324.20,PF13906.5	GO:0003333,GO:0006810,GO:0015171,GO:0016020,GO:0055085
Gene05170		PF00076.21	GO:0003676
Gene05171		PF00201.17	GO:0008152,GO:0016758
Gene05172			
Gene05173		PF00561.19,PF12697.6,PF12146.7,PF06821.12,PF04583.11	GO:0016787,GO:0019058
Gene05174			
Gene05175		PF00389.29,PF02826.18	GO:0008152,GO:0016616,GO:0051287,GO:0055114
Gene05176		PF02365.14	GO:0003677,GO:0006355
Gene05177			
Gene05178			
Gene05179	K18327	PF00929.23	
Gene05180			
Gene05181		PF12295.7	
Gene05182		PF07534.15	
Gene05183		PF14009.5	
Gene05184			
Gene05185		PF00847.19	GO:0003700,GO:0006355
Gene05186		PF00560.32,PF12799.6,PF00560.32,PF00560.32	GO:0005515
Gene05187		PF05686.11	
Gene05188			
Gene05189		PF00400.31	GO:0005515
Gene05190			
Gene05191			
Gene05192			
Gene05193			
Gene05194		PF03141.15	GO:0008168
Gene05195		PF03552.13	GO:0016020,GO:0016760,GO:0030244
Gene05196			
Gene05197	K14786		
Gene05198			
Gene05199			
Gene05200			
Gene05201		PF04734.12,PF17048.4	
Gene05202		PF00307.30	GO:0005515
Gene05203			
Gene05204		PF00045.18	
Gene05205			
Gene05206			
Gene05207			
Gene05208	K14411	PF00076.21,PF16367.4,PF00076.21	GO:0003676
Gene05209			
Gene05210	K20843	PF01762.20	GO:0006486,GO:0008378,GO:0016020
Gene05211			
Gene05212		PF06027.11,PF08627.9	GO:0006810,GO:0016021
Gene05213			
Gene05214			
Gene05215			
Gene05216			
Gene05217		PF01027.19	
Gene05218			
Gene05219			
Gene05220	K03283	PF00012.19,PF06723.12,PF10712.8	GO:0000902
Gene05221		PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene05222	K08908	PF00504.20	
Gene05223		PF00931.21,PF01582.19,PF13676.5	GO:0005515,GO:0007165,GO:0043531
Gene05224		PF12819.6,PF08263.11,PF11721.7,PF08263.11,PF08263.11	
Gene05225		PF00083.23,PF07690.15	GO:0016021,GO:0022857,GO:0055085
Gene05226			
Gene05227			
Gene05228	K20286		
Gene05229		PF14416.5	
Gene05230			
Gene05231		PF00560.32,PF00560.32,PF13516.5	GO:0005515
Gene05232			
Gene05233		PF05922.15	
Gene05234		PF04749.16	
Gene05235			
Gene05236			
Gene05237			
Gene05238			
Gene05239			
Gene05240			
Gene05241			
Gene05242			
Gene05243			
Gene05244		PF10250.8	
Gene05245		PF07847.11	GO:0016702,GO:0055114
Gene05246		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene05247			
Gene05248			
Gene05249			
Gene05250	K13066	PF08100.10,PF00891.17	GO:0008171,GO:0046983
Gene05251	K02320	PF12254.7	
Gene05252			
Gene05253	K16578	PF12348.7	
Gene05254			
Gene05255		PF12796.6,PF13637.5,PF13606.5,PF00023.29,PF13637.5,PF12796.6,PF00023.29,PF13637.5	GO:0005515
Gene05256	K10400	PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene05257			
Gene05258		PF01535.19	
Gene05259	K14662	PF14736.5	GO:0008418
Gene05260			
Gene05261			
Gene05262			
Gene05263		PF00955.20,PF00955.20	GO:0006820,GO:0016021
Gene05264		PF00091.24,PF03953.16	GO:0003924
Gene05265			
Gene05266			
Gene05267		PF16796.4,PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene05268			
Gene05269			
Gene05270	K22794	PF00201.17	GO:0008152,GO:0016758
Gene05271	K16810		
Gene05272			
Gene05273			
Gene05274			
Gene05275			
Gene05276			
Gene05277			
Gene05278			
Gene05279		PF01266.23,PF12831.6,PF00890.23	GO:0016491,GO:0055114
Gene05280			
Gene05281			
Gene05282			
Gene05283	K13449	PF00188.25	
Gene05284		PF01535.19,PF01535.19	
Gene05285		PF01419.16,PF01419.16	
Gene05286			
Gene05287	K01265	PF00557.23	
Gene05288			
Gene05289		PF00135.27,PF07859.12	GO:0008152,GO:0016787
Gene05290		PF00179.25	
Gene05291		PF00646.32,PF12937.6	GO:0005515
Gene05292			
Gene05293		PF00689.20	
Gene05294			
Gene05295	K02866	PF00252.17	GO:0003735,GO:0005840,GO:0006412
Gene05296			
Gene05297		PF00067.21	GO:0005506,GO:0016705,GO:0020037,GO:0055114
Gene05298			
Gene05299	K13993	PF00011.20	
Gene05300			
Gene05301			
Gene05302	K04713	PF04116.12	GO:0005506,GO:0008610,GO:0016491,GO:0055114
Gene05303		PF00067.21	
Gene05304	K15078	PF01541.23	
Gene05305			
Gene05306		PF01852.18	GO:0008289
Gene05307		PF01344.24,PF13415.5,PF01344.24,PF01344.24	GO:0005515
Gene05308	K17675		
Gene05309			
Gene05310			
Gene05311		PF05097.11	
Gene05312		PF13516.5,PF00560.32	GO:0005515
Gene05313			
Gene05314			
Gene05315		PF11838.7	
Gene05316			
Gene05317		PF00646.32,PF12937.6,PF07723.12	GO:0005515
Gene05318		PF12861.6,PF13639.5,PF17123.4,PF13923.5,PF00097.24,PF13445.5	GO:0004842,GO:0005680,GO:0046872
Gene05319		PF00350.22	
Gene05320	K22909		
Gene05321	K03798	PF00004.28	GO:0005524
Gene05322			
Gene05323			
Gene05324	K05275	PF00248.20	
Gene05325			
Gene05326	K14963	PF00400.31,PF00400.31,PF08662.10,PF00400.31,PF12894.6	
Gene05327		PF03321.12	
Gene05328			
Gene05329	K20617		
Gene05330			
Gene05331	K01051	PF01095.18	GO:0005618,GO:0030599,GO:0042545
Gene05332		PF00046.28	GO:0003677
Gene05333			
Gene05334			
Gene05335		PF00082.21	GO:0004252,GO:0006508
Gene05336			
Gene05337		PF00249.30	
Gene05338		PF00573.21,PF14374.5	GO:0003735,GO:0005840,GO:0006412
Gene05339		PF01554.17	GO:0006855,GO:0015238,GO:0015297,GO:0016020,GO:0055085
Gene05340		PF10250.8	
Gene05341	K21989	PF13967.5,PF14703.5	
Gene05342			
Gene05343		PF08613.10,PF00134.22	GO:0000079,GO:0019901
Gene05344			
Gene05345			
Gene05346			
Gene05347			
Gene05348		PF03134.18	
Gene05349		PF00646.32,PF07723.12	GO:0005515
Gene05350			
Gene05351		PF10269.8	
Gene05352			
Gene05353	K10257	PF00487.23	GO:0006629
Gene05354			
Gene05355			
Gene05356			
Gene05357	K14792	PF00575.22	GO:0003676
Gene05358			
Gene05359			
Gene05360		PF00012.19,PF06723.12	GO:0000902
Gene05361			
Gene05362		PF00560.32,PF00560.32,PF13855.5,PF00560.32,PF00069.24,PF07714.16	GO:0004672,GO:0005515,GO:0005524,GO:0006468
Gene05363			
Gene05364			
Gene05365			
Gene05366		PF00249.30,PF13921.5,PF00249.30,PF13921.5	
Gene05367			
Gene05368			
Gene05369			
Gene05370			
Gene05371		PF04535.11	
Gene05372			
Gene05373			
Gene05374		PF03168.12	
Gene05375		PF03000.13	
Gene05376	K10398		
Gene05377	K10801		
Gene05378			
Gene05379		PF06045.10	
Gene05380			
Gene05381		PF01699.23	GO:0016021,GO:0055085
Gene05382			
Gene05383			
Gene05384			
Gene05385	K01669	PF00875.17	
Gene05386			
Gene05387			
Gene05388			
Gene05389			
Gene05390		PF07992.13,PF01946.16,PF01266.23,PF03486.13,PF01494.18,PF00890.23,PF13450.5,PF01593.23	GO:0016491,GO:0055114,GO:0071949
Gene05391	K13681	PF03254.12	GO:0008107,GO:0016020,GO:0042546
Gene05392		PF13041.5,PF01535.19,PF01535.19,PF13812.5,PF01535.19,PF17177.3,PF13041.5,PF01535.19,PF13812.5,PF13041.5,PF01535.19,PF01535.19,PF17177.3,PF13812.5,PF01535.19,PF01535.19	
Gene05393		PF03092.15,PF03092.15	GO:0006810,GO:0016021
Gene05394			
Gene05395		PF07002.15	
Gene05396		PF02362.20	GO:0003677
Gene05397		PF06749.11	
Gene05398		PF00023.29	GO:0005515
Gene05399		PF00249.30	
Gene05400		PF04826.12	
Gene05401			
Gene05402			
Gene05403		PF12348.7	
Gene05404			
Gene05405			
Gene05406			
Gene05407			
Gene05408			
Gene05409		PF01535.19,PF13041.5,PF12854.6,PF13812.5,PF01535.19,PF01535.19,PF01535.19,PF01535.19,PF13041.5,PF13812.5,PF01535.19	
Gene05410			
Gene05411		PF06101.10	
Gene05412			
Gene05413		PF01846.18	
Gene05414			
Gene05415			
Gene05416		PF01535.19,PF01535.19,PF12854.6,PF13812.5,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF01535.19	
Gene05417			
Gene05418			
Gene05419			
Gene05420			
Gene05421	K00167	PF02779.23	
Gene05422	K17872	PF07992.13	GO:0016491,GO:0055114
Gene05423			
Gene05424			
Gene05425		PF03169.14	GO:0055085
Gene05426		PF03999.11	
Gene05427		PF00069.24,PF07714.16,PF00036.31,PF13405.5,PF13499.5,PF13202.5,PF13833.5,PF13833.5,PF00036.31,PF13405.5,PF13202.5	GO:0004672,GO:0005509,GO:0005524,GO:0006468
Gene05428			
Gene05429			
Gene05430			
Gene05431			
Gene05432	K07199		
Gene05433			
Gene05434		PF05922.15	
Gene05435		PF00899.20	GO:0008641
Gene05436	K09191	PF00096.25,PF00096.25,PF00096.25,PF00096.25	
Gene05437			
Gene05438			
Gene05439		PF00012.19,PF06723.12	GO:0000902
Gene05440			
Gene05441			
Gene05442			
Gene05443		PF05664.10	
Gene05444	K22314		
Gene05445			
Gene05446			
Gene05447		PF00135.27,PF07859.12	GO:0008152,GO:0016787
Gene05448		PF00646.32,PF07723.12	GO:0005515
Gene05449			
Gene05450			
Gene05451		PF00249.30	
Gene05452			
Gene05453			
Gene05454		PF03015.18	
Gene05455			
Gene05456			
Gene05457			
Gene05458			
Gene05459		PF01582.19,PF13676.5,PF00931.21,PF00004.28	GO:0005515,GO:0005524,GO:0007165,GO:0043531
Gene05460			
Gene05461	K14568	PF03587.13	GO:0008168
Gene05462			
Gene05463			
Gene05464		PF03171.19	GO:0016491,GO:0055114
Gene05465			
Gene05466			
Gene05467		PF00083.23,PF07690.15	GO:0016021,GO:0022857,GO:0055085
Gene05468		PF13812.5,PF13041.5,PF01535.19,PF12854.6,PF01535.19,PF13041.5,PF17177.3,PF13812.5,PF12854.6,PF01535.19,PF13812.5,PF12854.6,PF13041.5,PF01535.19,PF12854.6	
Gene05469		PF01582.19,PF13676.5	GO:0005515,GO:0007165
Gene05470		PF11926.7	
Gene05471		PF13456.5	
Gene05472			
Gene05473			
Gene05474		PF14368.5,PF14547.5	
Gene05475	K03301	PF03219.13	GO:0005471,GO:0005524,GO:0006810,GO:0016021
Gene05476			
Gene05477		PF05938.10	
Gene05478		PF00564.23	GO:0005515
Gene05479		PF03951.18	GO:0004356,GO:0006542,GO:0006807
Gene05480		PF01535.19,PF12854.6,PF13812.5,PF13041.5,PF01535.19,PF01535.19,PF13041.5,PF01535.19,PF13812.5,PF01535.19,PF01535.19	
Gene05481		PF02772.15,PF02773.15	GO:0004478,GO:0006556
Gene05482		PF05147.12	
Gene05483		PF00168.29	
Gene05484			
Gene05485		PF00107.25	GO:0055114
Gene05486			
Gene05487		PF00383.22,PF14437.5	GO:0002100,GO:0008251
Gene05488			
Gene05489			
Gene05490			
Gene05491			
Gene05492			
Gene05493	K10405	PF16796.4,PF00225.22	GO:0003777,GO:0005524,GO:0007018,GO:0008017
Gene05494			
Gene05495		PF06232.10	
Gene05496			
Gene05497			
Gene05498			
Gene05499			
Gene05500			
Gene05501	K00799	PF00043.24,PF13410.5,PF14497.5	
Gene05502			
Gene05503		PF13306.5,PF13306.5,PF13516.5,PF00560.32	GO:0005515
Gene05504			
Gene05505		PF13178.5	
Gene05506		PF14368.5,PF14547.5,PF00234.21	
Gene05507			
Gene05508			
Gene05509		PF07690.15,PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene05510		PF00982.20	GO:0003824,GO:0005992
Gene05511			
Gene05512			
Gene05513	K01188	PF00232.17	GO:0004553,GO:0005975
Gene05514			
Gene05515			
Gene05516		PF02782.15	GO:0005975,GO:0016773
Gene05517			
Gene05518		PF10536.8	
Gene05519		PF01535.19	
Gene05520			
Gene05521			
Gene05522		PF10392.8	GO:0006891,GO:0017119
Gene05523		PF06697.11	
Gene05524			
Gene05525			
Gene05526		PF03016.14	
Gene05527			
Gene05528			
Gene05529			
Gene05530		PF02776.17	GO:0030976
Gene05531			
Gene05532			
Gene05533	K15414	PF02330.15	GO:0005759
Gene05534		PF07714.16,PF00069.24	GO:0004672,GO:0005524,GO:0006468
Gene05535			
Gene05536			
Gene05537		PF01501.19	GO:0016757
Gene05538		PF01743.19	GO:0003723,GO:0006396,GO:0016779
Gene05539			
Gene05540			
Gene05541			
Gene05542		PF05623.11	
Gene05543		PF00657.21	GO:0016788
Gene05544			
Gene05545		PF07859.12	GO:0008152,GO:0016787
Gene05546			
Gene05547		PF00443.28	GO:0016579,GO:0036459
Gene05548			
Gene05549			
Gene05550			
Gene05551			
Gene05552		PF00847.19,PF00847.19	GO:0003700,GO:0006355
Gene05553		PF00514.22	GO:0005515
Gene05554			
Gene05555		PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene05556		PF00232.17	GO:0004553,GO:0005975
Gene05557			
Gene05558		PF02142.21	
Gene05559			
Gene05560	K13065	PF02458.14	GO:0016747
Gene05561			
Gene05562			
Gene05563			
Gene05564		PF02362.20	GO:0003677
Gene05565	K05288		
Gene05566		PF02362.20	GO:0003677
Gene05567			
Gene05568			
Gene05569			
Gene05570	K05909	PF00394.21,PF07731.13	GO:0005507,GO:0016491,GO:0055114
Gene05571	K01904	PF00501.27	GO:0003824,GO:0008152
Gene05572			
Gene05573			
Gene05574			
Gene05575	K16189	PF00010.25	GO:0046983
Gene05576			
Gene05577	K15151	PF09748.8	GO:0001104,GO:0006357,GO:0016592
Gene05578			
Gene05579			
Gene05580		PF00012.19,PF06723.12,PF10712.8	GO:0000902
Gene05581		PF12353.7,PF00076.21	GO:0003676
Gene05582		PF00135.27,PF07859.12	GO:0008152,GO:0016787
Gene05583			
Gene05584		PF08787.10	
Gene05585	K09392		
Gene05586			
Gene05587		PF00076.21,PF00641.17,PF00641.17	GO:0003676
Gene05588			
Gene05589		PF00646.32	GO:0005515
Gene05590			
Gene05591		PF03000.13	
Gene05592		PF00106.24,PF08659.9,PF13561.5	
Gene05593			
Gene05594			
Gene05595		PF00571.27	
Gene05596		PF00168.29,PF06398.10,PF08372.9	
Gene05597			
Gene05598	K09534	PF14901.5	
Gene05599	K15687	PF14608.5,PF00642.23,PF14608.5,PF00097.24,PF13445.5	GO:0046872
Gene05600		PF00491.20	GO:0046872
Gene05601			
Gene05602			
Gene05603		PF14226.5,PF03171.19	GO:0016491,GO:0055114
Gene05604		PF13837.5	
Gene05605			
Gene05606			
Gene05607	K08737	PF01624.19	GO:0005524,GO:0006298,GO:0030983
Gene05608			
Gene05609			
Gene05610		PF01565.22,PF08031.11	GO:0016491,GO:0050660,GO:0055114
Gene05611			
Gene05612			
Gene05613			
Gene05614		PF03168.12	
Gene05615			
Gene05616			
Gene05617		PF00083.23,PF07690.15,PF00083.23	GO:0016021,GO:0022857,GO:0055085
Gene05618		PF00005.26	GO:0005524,GO:0016887
Gene05619		PF14309.5	
Gene05620			
Gene05621			
Gene05622			
Gene05623		PF00069.24,PF07714.16	GO:0004672,GO:0005524,GO:0006468
Gene05624			
Gene05625		PF00999.20	GO:0006812,GO:0015299,GO:0016021,GO:0055085
Gene05626			
Gene05627		PF00190.21	GO:0045735
Gene05628			
Gene05629			
Gene05630			
Gene05631			
Gene05632			
Gene05633		PF00101.19	
Gene05634		PF01195.18	GO:0004045
Gene05635		PF00153.26,PF00153.26	
Gene05636			
Gene05637			
Gene05638			
Gene05639	K01177	PF01373.16	GO:0000272,GO:0016161
Gene05640			
Gene05641			
Gene05642			
Gene05643			
Gene05644		PF13456.5	
Gene05645			
Gene05646			
Gene05647		PF03647.12	GO:0016020
Gene05648		PF00314.16	
Gene05649			
Gene05650		PF01301.18,PF01301.18	
Gene05651			
Gene05652			
Gene05653			
Gene05654			
Gene05655			
Gene05656			
Gene05657			
Gene05658		PF05368.12,PF01370.20,PF01073.18,PF13460.5	GO:0003824,GO:0003854,GO:0006694,GO:0016616,GO:0050662,GO:0055114
